hid,title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
11q9uH8O,Blink Master of the Magic Academy,reading,,70,2025-15-09,"Magic Academy's Genius Blinker,Gênio do teletransporte da academia de magia,I Became a Flashing Genius at the Magic Academy,I Become Flashing Genius at the Magic Academy,ザコキャラ憑依のはずが、アカデミーの天才になっていた,魔法学院的闪现天才,마법학교 앞점멸 천재가 되었다,Quick Teleporting Genius from Magic School,Mabeop Hakgyo Apjeommyeol Cheonjae-ga Doeeotda",https://myanimelist.net/manga/170974?utm_source=comick,https://anilist.co/manga/178379?utm_source=comick,https://www.mangaupdates.com/series/4x1ds0v?utm_source=comick
45LcQFyu,Ryoushin no Shakkin wo Katagawari shite morau Jouken wa Nihon Ichi Kawaii Joshikousei to Issho ni Kurasu koto deshita.,reading,,37,2025-15-09,"I'm Gonna Live with You Not Because My Parents Left Me Their Debt But Because I Like You,両親の借金を肩代わりしてもらう条件は日本一可愛い女子高生と一緒に暮らすことでした。,Tì wǒ fùmǔ chánghuán zhàiwù de tiáojiàn shì yǔ rìběn zuì kě'ài de nǚ gāozhōng shēng tóngjū.,替我父母偿还债务的条件是与日本最可爱的女高中生同居。,Ryoushin no Shakkin wo Katagawari shite Morau Jouken wa Nihonichi Kawaii Joshikousei to Issho ni Kurasu Koto deshita.",https://myanimelist.net/manga/147458?utm_source=comick,https://anilist.co/manga/142021?utm_source=comick,https://www.mangaupdates.com/series/hrrxtdp?utm_source=comick
O1VuHWbf,The Yellow-haired Villain in Female Main Character's Novel wants Happiness,reading,,30,2025-15-09,"凤傲天小说里的黄毛反派也想幸福,The Yellow-Haired Villain in Soaring Phoenix's Novels Also Desires Happiness,The Yellow-Haired Villain in the Female Main Character's Novel Wants Happiness,Feng Aotian Xiaoshuo li de Huangmao Fanpai Ye Xiang Xingfu",,,
D7Xay4Zj,Mob Dakedo Saikyou wo Mezashimasu! ~Game Sekai ni Tensei shita Ore wa Jiyuu ni Tsuyosa wo Oimotomeru~,reading,,8,2025-15-09,"I May Just Be a Mob Character, but I'll Aim to Be the Strongest! ~Reincarnated Into a Game World, I Strive for Power on My Terms~,モブだけど最強を目指します！～ゲーム世界に転生した俺は自由に強さを追い求める～,I May Just Be a Mob Character, but I'll Aim to Be the Strongest! ~Reincarnated Into a Game World, I Strive for Power on My Terms~,Mob Dakedo Saikyou wo Mezashimasu!,Mob Dakedo Saikyō o Mezashimasu!,モブだけど最強を目指します！,モブだけど最強を目指します！～ゲーム世界に転生した俺は自由に強さを追い求める～,Mob Dakedo Saikyou wo Mezashimasu! - Game Sekai ni Tensei shita Ore wa Jiyuu ni Tsuyosa wo Oimotomeru",https://myanimelist.net/manga/180177?utm_source=comick,,https://www.mangaupdates.com/series/teaeb9j?utm_source=comick
Pk_vCu12,The Reborn Young Lordis an Assassin,reading,,92,2025-15-09,"회귀한 공작가의 막내도련님은 암살자,Вернувшийся младший сын герцога,La venganza del asesino de la espada demoniaca,Hoegwihan Gongjakgaui Mangnaedoryeonnimeun Amsalja,El asesino que retornó como el hijo del Duque,El pibe que retorna como el hijo menor,Регрессировавший сын герцога,ลูกชายคนเล็กของดยุกคือมือสังหาร,歸來的少爺是暗殺者,The Regressed Youngest Son of the Duke Is an Assassin,The Regressed Son of a Duke Is an Assassin,回帰した公爵家の末息子は暗殺者,公爵家的重生暗杀者,El joven señor renacido es un asesino",,,
EPl3QHL_,Revenge of the Baskerville Bloodhound,reading,,130,2025-15-09,"철혈검가 사냥개의 회귀,Cheolhyeolgeomga Sanyanggaeui Hoegwi,Demir kanlı kılıç tazısının i̇ntikamı,回帰した鉄血の猟犬,铁血剑家猎犬的回归,عودة الكلب ذي الدم الحديدي,Revenge of the Sword Clan's Hound,Ang Paghihiganti ni VikVik,Ang pagpanimalos sa Irong-buang,Cheolhyeol Geomga Sanyanggaeui Hoegwi,Demir Kanlı Kılıç Tazısının İntikamı,Die Rückkehr des Jagdhundes aus Eisen und Blut,Kuduz Hançerin İntikamı,鐵血家族獵犬的重生,A vingança do cão de caça de sangue de ferro Baskerville,Revenge of the Iron-Blooded Sword Hound,Regression of the Ironblade Hound,Return of the Iron-Blooded Hound,Return of the Iron-Blooded Sword Hound,The Return of the Iron-Blood Sword Hound,La revanche du limier des Baskerville,O retorno do cão de caça dos Baskerville,El perro de metal,La venganza del sabueso de la espada sangrienta,La venganza del sabueso de sangre de hierro,การกลับมาของหมาล่าเนื้อตระกูลดาบเลือดเหล็ก,বাস্কেরভিলের শিকারীর প্রতিশোধ",https://myanimelist.net/manga/157888?utm_source=comick,https://anilist.co/manga/163824?utm_source=comick,https://www.mangaupdates.com/series/5v7h9gf?utm_source=comick
FZhvxiV4,Primal Hunter,reading,,80,2025-15-09,Pierwotny Łowca,,,
x_bdWVIL,A Modern Man Who Transmigrated Into the Murim World,reading,,143,2025-14-09,"Murime Tteoreojin Hyeondaein,무림에 떨어진 현대인,Modern Man Falling Into the World of Murim,Un hombre moderno en el Murim,Modern Dude in the Murim,A Modern Man Who Got Transmigrated to Murim,武林에 떨어진 現代人,A Modern Man Who Got Transmigrated Into the Murim World,武林に降り立った現代人,переселившийся в мир Мурим маньхуа,Современный человек,Hombre del siglo XI en la antigüedad,Un hombre moderno que transmigró al mundo murim",https://myanimelist.net/manga/158496?utm_source=comick,https://anilist.co/manga/159445?utm_source=comick,https://www.mangaupdates.com/series/pupzzsk?utm_source=comick
PwnIDEPL,"Astro King - Summoned as a Hero, I Turned Out to Be Low Rank, so I Made a Maid Harem!",reading,,30,2025-14-09,"アストロキング　召喚勇者だけど下級認定されたのでメイドハーレムを作ります！,Asutoro Kingu - Shoukan Yuusha dakedo Kakyuu Nintei sareta node Meido Haaremu o Tsukurimasu!,Astro King - Summoned as a Hero, I Turned Out to Be Low Rank, so I Made a Maid Harem!,Astro King - Di panggil Sebagai Pahlawan, Aku Ternyata Berpangkat Rendah, Jadi Aku Membuat Harem dengan Pelayan!!",,,
f28FW4OR,Necromancer Academy and the Genius Summoner,reading,,198,2025-14-09,"Necromancer Academy's Genius Summoner,네크로맨서 학교의 소환천재,Necromancer Hakgyoui Sohwancheonjae,死靈術師學院的召喚天才,ยอดอัจฉริยะแห่งโรงเรียนเนโครแมนเซอร์,ネクロマンサー学園の天才召喚士",https://myanimelist.net/manga/164754?utm_source=comick,https://anilist.co/manga/171818?utm_source=comick,https://www.mangaupdates.com/series/o38jhwh?utm_source=comick
